sentence_num,text,gold_move,pred_move,gold_step,pred_step,move_correct,step_correct
1,"Due to its importance in shaping ecological communities and the species, the che...",1,1,1a,1a,True,True
2,"Under this paradigm, plants that evolve the ability to produce toxic or deterren...",1,1,1b,1c,True,False
3,"However, as their enemies evolve the ability to tolerate or neutralize these met...",2,2,2a,2c,True,False
4,"The Brassicaceae, a family of more than 4000 plant species, presents many instan...",2,1,2a,1a,False,False
5,Glucosinolates evolved as a defense in this lineage approximately 90 million yea...,1,1,1c,1b,True,False
6,"Since the original gain of glucosinolate biosynthesis, many insect species have ...",1,1,1c,1c,True,True
7,Several lineages within the Brassicaceae have more recently evolved the producti...,1,1,1c,1c,True,True
8,It is hypothesized that these key evolutionary innovations allowed these lineage...,1,1,1c,1c,True,True
9,A meta-analysis of phytochemical coevolution theory found that specialist insect...,1,1,1c,1c,True,True
10,"Consistent with this theory, the glucosinolate-tolerant small and large white ca...",1,1,1c,1c,True,True
11,Experiments involving bioactivity-guided fractionation identified cardiac glycos...,1,1,1c,1c,True,True
12,"Similarly, isolated cardiac glycosides were shown to be feeding deterrents for t...",1,1,1c,1c,True,True
13,"However, in the absence of mutant lines that lack cardiac glycosides, it has not...",2,2,2a,2b,True,False
14,"The aims of this study were two-fold: First, we sought to identify cardiac glyco...",3,3,3b,3a,True,False
15,"Second, we revisited classical ecological experiments with modern tools, develop...",3,3,3b,3b,True,True
16,This effectively reversed the “escape from herbivory” of E. cheiranthoides and a...,3,3,3b,3c,True,False
1,"The majority of devastating plant pathogens, including viruses and bacteria, are...",1,1,1a,1a,True,True
2,"In recent decades, the interactions between vectors and pathogens have been wide...",1,1,1c,1b,True,False
3,"However, studies on the mechanisms underlying these interactions have mainly foc...",2,2,2a,2c,True,False
4,Knowledge of the relationships between vectors and pathogens is of great signifi...,1,1,1b,1a,True,False
5,The severe Asian form of huanglongbing (HLB) is currently the most destructive c...,1,1,1c,1b,True,False
6,"However, since CLas has not been cultured in vitro, Koch’s postulates have not b...",2,2,2c,2b,True,False
7,"Control of D. citri is the most effective way to prevent HLB epidemics [6,7] but...",1,1,1c,1b,True,False
8,Previous studies have reported that infection with CLas significantly increases ...,1,1,1c,1b,True,False
9,Reproduction is a costly process in terms of energy usage in the adult life of f...,1,1,1b,1c,True,False
10,How D. citri maintains a balance between lipid metabolism and increased fecundit...,2,2,2b,2b,True,True
11,"In insects, energy mobilization is under control of adipokinetic hormone (AKH), ...",1,1,1c,1c,True,True
12,"To date, more than 80 different forms of AKH have been identified or predicted i...",1,1,1c,1c,True,True
13,The mechanisms of synthesis and biological activity of AKH have also been invest...,1,1,1c,1c,True,True
14,Insect store lipids in the form of triacylglycerides (TAG) and as carbohydrates ...,1,1,1c,1c,True,True
15,"Under conditions of energy demand, AKHs are synthesized in the corpora cardiaca,...",1,1,1b,1c,True,False
16,AKHR binding and activation triggers the release of energy-rich substrates after...,1,1,1b,1c,True,False
17,AKHRs are a class of G protein-coupled receptors and were first identified in Dr...,1,1,1c,1c,True,True
18,Recent studies have shown that AKH/AKHR signaling plays a regulatory role during...,1,1,1c,1c,True,True
19,"For example, depletion of AKHR in Bactrocera dorsalis resulted in TAG accumulati...",1,1,1c,1c,True,True
20,AKHR knockdown in Nilaparvata lugens interferes with trehalose homeostasis and v...,1,1,1c,1c,True,True
21,AKH/AKHR signaling also regulates vitellogenesis and egg development in Locusta ...,1,1,1c,1c,True,True
22,"As outlined above, the fecundity of D. citri is increased by CLas....",1,1,1b,1a,True,False
23,Whether AKH/AKHR signaling participates in this increase in fecundity due to inf...,2,2,2b,2b,True,True
24,"Although numerous studies have been conducted on the AKH/AKHR signaling pathway,...",2,1,2b,1b,False,False
