sentence_num,condition_zs,level,text_preview_zs,n_runs_zs,gold_label,agreement_rate_zs,n_correct_zs,n_incorrect_zs,entropy_zs,modal_prediction_zs,modal_frequency_zs,unique_predictions_zs,consistency_category_zs,condition_ft,text_preview_ft,n_runs_ft,agreement_rate_ft,n_correct_ft,n_incorrect_ft,entropy_ft,modal_prediction_ft,modal_frequency_ft,unique_predictions_ft,consistency_category_ft,agreement_diff,entropy_diff,more_consistent
1,zero_shot,move,"Due to its importance in shaping ecological communities and the species, the che...",1000,1,1.0,1000,0,0.0,1,1.0,1,High consistency,fine_tuned,"Due to its importance in shaping ecological communities and the species, the che...",1000,1.0,1000,0,0.0,1,1.0,1,High consistency,0.0,0.0,Equal
2,zero_shot,move,"Under this paradigm, plants that evolve the ability to produce toxic or deterren...",1000,1,0.941,941,59,0.3234624358721854,1,0.941,2,High consistency,fine_tuned,"Under this paradigm, plants that evolve the ability to produce toxic or deterren...",1000,1.0,1000,0,0.0,1,1.0,1,High consistency,-0.05900000000000005,0.3234624358721854,Fine-tuned
3,zero_shot,move,"However, as their enemies evolve the ability to tolerate or neutralize these met...",1000,2,0.741,741,259,0.9991659615315873,2,0.517,2,Moderate consistency,fine_tuned,"However, as their enemies evolve the ability to tolerate or neutralize these met...",1000,0.729,729,271,0.8421414438806375,1,0.741,3,Moderate consistency,0.01200000000000001,0.15702451765094982,Zero-shot
4,zero_shot,move,"The Brassicaceae, a family of more than 4000 plant species, presents many instan...",1000,2,0.57,570,430,0.9858150371789199,1,0.57,2,Uncertain,fine_tuned,"The Brassicaceae, a family of more than 4000 plant species, presents many instan...",1000,0.797,797,203,0.7278998732027541,1,0.805,3,Moderate consistency,-0.2270000000000001,0.2579151639761659,Fine-tuned
5,zero_shot,move,Glucosinolates evolved as a defense in this lineage approximately 90 million yea...,1000,1,0.883,883,117,0.9238851906547034,1,0.799,3,Moderate consistency,fine_tuned,Glucosinolates evolved as a defense in this lineage approximately 90 million yea...,1000,0.824,824,176,0.9665679759271928,1,0.783,3,Moderate consistency,0.05900000000000005,-0.042682785272489365,Zero-shot
6,zero_shot,move,"Since the original gain of glucosinolate biosynthesis, many insect species have ...",1000,1,0.791,791,209,0.7395669234392042,1,0.791,2,Moderate consistency,fine_tuned,"Since the original gain of glucosinolate biosynthesis, many insect species have ...",1000,0.815,815,185,0.7081719992507212,1,0.859,3,Moderate consistency,-0.02399999999999991,0.031394924188483,Fine-tuned
7,zero_shot,move,Several lineages within the Brassicaceae have more recently evolved the producti...,1000,1,0.964,964,36,0.22364166448448083,1,0.964,2,High consistency,fine_tuned,Several lineages within the Brassicaceae have more recently evolved the producti...,1000,0.982,982,18,0.14789821525618485,1,0.982,3,High consistency,-0.018000000000000016,0.07574344922829598,Fine-tuned
8,zero_shot,move,It is hypothesized that these key evolutionary innovations allowed these lineage...,1000,1,0.725,725,275,0.8485481782946158,1,0.725,2,Moderate consistency,fine_tuned,It is hypothesized that these key evolutionary innovations allowed these lineage...,1000,0.849,849,151,0.6509793614823618,1,0.873,3,Moderate consistency,-0.124,0.19756881681225402,Fine-tuned
9,zero_shot,move,A meta-analysis of phytochemical coevolution theory found that specialist insect...,1000,1,0.73,730,270,0.6665526131559397,1,0.83,3,Moderate consistency,fine_tuned,A meta-analysis of phytochemical coevolution theory found that specialist insect...,1000,0.805,805,195,0.5372673702423658,1,0.905,3,Moderate consistency,-0.07500000000000007,0.1292852429135739,Fine-tuned
10,zero_shot,move,"Consistent with this theory, the glucosinolate-tolerant small and large white ca...",1000,1,0.902,902,98,0.4895053376870646,1,0.898,3,High consistency,fine_tuned,"Consistent with this theory, the glucosinolate-tolerant small and large white ca...",1000,0.936,936,64,0.8607903725234376,1,0.817,3,High consistency,-0.03400000000000003,-0.371285034836373,Fine-tuned
11,zero_shot,move,Experiments involving bioactivity-guided fractionation identified cardiac glycos...,1000,1,0.851,851,149,0.809689311343917,1,0.751,2,Moderate consistency,fine_tuned,Experiments involving bioactivity-guided fractionation identified cardiac glycos...,1000,0.965,965,35,0.580621159349453,1,0.877,3,High consistency,-0.11399999999999999,0.22906815199446395,Fine-tuned
12,zero_shot,move,"Similarly, isolated cardiac glycosides were shown to be feeding deterrents for t...",1000,1,0.791,791,209,0.7395669234392042,1,0.791,2,Moderate consistency,fine_tuned,"Similarly, isolated cardiac glycosides were shown to be feeding deterrents for t...",1000,0.848,848,152,0.6512835785916846,1,0.848,3,Moderate consistency,-0.05699999999999994,0.08828334484751954,Fine-tuned
13,zero_shot,move,"However, in the absence of mutant lines that lack cardiac glycosides, it has not...",1000,2,0.845,845,155,0.9184587011691927,1,0.676,3,Moderate consistency,fine_tuned,"However, in the absence of mutant lines that lack cardiac glycosides, it has not...",1000,0.859,859,141,1.1725723261336973,1,0.687,3,Moderate consistency,-0.014000000000000012,-0.2541136249645046,Fine-tuned
14,zero_shot,move,"The aims of this study were two-fold: First, we sought to identify cardiac glyco...",1000,3,0.797,797,203,1.510983071918377,2,0.455,3,Moderate consistency,fine_tuned,"The aims of this study were two-fold: First, we sought to identify cardiac glyco...",1000,0.809,809,191,1.4623700325451243,1,0.533,3,Moderate consistency,-0.01200000000000001,0.048613039373252676,Fine-tuned
