sentence_num,condition,level,text_preview,n_runs,gold_label,agreement_rate,n_correct,n_incorrect,entropy,modal_prediction,modal_frequency,unique_predictions,consistency_category
1,zero_shot,move,"Due to its importance in shaping ecological communities and the species, the che...",1000,1,1.0,1000,0,0.0,1,1.0,1,High consistency
2,zero_shot,move,"Under this paradigm, plants that evolve the ability to produce toxic or deterren...",1000,1,0.941,941,59,0.3234624358721854,1,0.941,2,High consistency
3,zero_shot,move,"However, as their enemies evolve the ability to tolerate or neutralize these met...",1000,2,0.741,741,259,0.9991659615315873,2,0.517,2,Moderate consistency
4,zero_shot,move,"The Brassicaceae, a family of more than 4000 plant species, presents many instan...",1000,2,0.57,570,430,0.9858150371789199,1,0.57,2,Uncertain
5,zero_shot,move,Glucosinolates evolved as a defense in this lineage approximately 90 million yea...,1000,1,0.883,883,117,0.9238851906547034,1,0.799,3,Moderate consistency
6,zero_shot,move,"Since the original gain of glucosinolate biosynthesis, many insect species have ...",1000,1,0.791,791,209,0.7395669234392042,1,0.791,2,Moderate consistency
7,zero_shot,move,Several lineages within the Brassicaceae have more recently evolved the producti...,1000,1,0.964,964,36,0.22364166448448083,1,0.964,2,High consistency
8,zero_shot,move,It is hypothesized that these key evolutionary innovations allowed these lineage...,1000,1,0.725,725,275,0.8485481782946158,1,0.725,2,Moderate consistency
9,zero_shot,move,A meta-analysis of phytochemical coevolution theory found that specialist insect...,1000,1,0.73,730,270,0.6665526131559397,1,0.83,3,Moderate consistency
10,zero_shot,move,"Consistent with this theory, the glucosinolate-tolerant small and large white ca...",1000,1,0.902,902,98,0.4895053376870646,1,0.898,3,High consistency
11,zero_shot,move,Experiments involving bioactivity-guided fractionation identified cardiac glycos...,1000,1,0.851,851,149,0.809689311343917,1,0.751,2,Moderate consistency
12,zero_shot,move,"Similarly, isolated cardiac glycosides were shown to be feeding deterrents for t...",1000,1,0.791,791,209,0.7395669234392042,1,0.791,2,Moderate consistency
13,zero_shot,move,"However, in the absence of mutant lines that lack cardiac glycosides, it has not...",1000,2,0.845,845,155,0.9184587011691927,1,0.676,3,Moderate consistency
14,zero_shot,move,"The aims of this study were two-fold: First, we sought to identify cardiac glyco...",1000,3,0.797,797,203,1.510983071918377,2,0.455,3,Moderate consistency
15,zero_shot,move,"Second, we revisited classical ecological experiments with modern tools, develop...",1000,3,0.8,800,200,1.1567796494470395,1,0.7,3,Moderate consistency
16,zero_shot,move,This effectively reversed the “escape from herbivory” of E. cheiranthoides and a...,1000,3,0.89,890,110,1.3638592347761223,1,0.49,3,Moderate consistency
17,zero_shot,move,AKHRs are a class of G protein-coupled receptors and were first identified in Dr...,900,1,0.46444444444444444,418,482,1.069350233310984,2,0.6466666666666666,3,Uncertain
18,zero_shot,move,Recent studies have shown that AKH/AKHR signaling plays a regulatory role during...,900,1,0.7211111111111111,649,251,1.2185577352211288,1,0.6722222222222223,3,Moderate consistency
19,zero_shot,move,"For example, depletion of AKHR in Bactrocera dorsalis resulted in TAG accumulati...",800,1,0.69125,553,247,1.425145272672075,1,0.44125,3,Uncertain
20,zero_shot,move,AKHR knockdown in Nilaparvata lugens interferes with trehalose homeostasis and v...,800,1,0.87375,699,101,1.3980098316256337,1,0.49875,3,Moderate consistency
21,zero_shot,move,AKH/AKHR signaling also regulates vitellogenesis and egg development in Locusta ...,800,1,0.62625,501,299,1.498743231710282,1,0.50125,3,Uncertain
22,zero_shot,move,"As outlined above, the fecundity of D. citri is increased by CLas....",800,1,0.77,616,184,1.3483499701723485,1,0.52,3,Moderate consistency
23,zero_shot,move,Whether AKH/AKHR signaling participates in this increase in fecundity due to inf...,800,2,0.75,600,200,1.5612781244591325,3,0.375,3,Moderate consistency
24,zero_shot,move,"Although numerous studies have been conducted on the AKH/AKHR signaling pathway,...",700,2,0.8428571428571429,590,110,1.5641590650192407,1,0.4142857142857143,3,Moderate consistency
25,zero_shot,move,"MicroRNAs (miRNAs) are small, non-coding RNAs containing approximately 22 nucleo...",700,1,0.9785714285714285,685,15,1.4758926150091773,3,0.43,3,High consistency
26,zero_shot,move,miRNAs play important roles in regulating cellular events at the post-transcript...,600,1,0.8333333333333334,500,100,1.459147917027245,3,0.5,3,Moderate consistency
27,zero_shot,move,"For example, in term of host-virus interactions, miR-8 and miR-429 target Broad ...",500,1,1.0,500,0,1.370950594454669,3,0.6,3,High consistency
28,zero_shot,move,"In relation to reproduction, in Aedes aegypti, miR-275 is essential for egg deve...",500,1,1.0,500,0,0.9709505944546688,3,0.6,2,High consistency
29,zero_shot,move,"As for lipid metabolism, knockdown of miR-277 in A. aegypti activates insulin/FO...",500,1,1.0,500,0,1.370950594454669,3,0.6,3,High consistency
30,zero_shot,move,"Nevertheless, the functions of the miRNAs in insect-pathogen interactions need f...",400,2,0.7525,301,99,1.4999639320228308,3,0.5,3,Moderate consistency
31,zero_shot,move,"To date, there are no reports that miRNAs participate in D. citri-CLas interacti...",400,2,1.0,400,0,1.0,2,0.5,2,High consistency
32,zero_shot,move,"As a consequence, in this study, we used the D. citri-CLas system as a model to ...",300,3,0.9933333333333333,298,2,0.05777796017013378,3,0.9933333333333333,2,High consistency
33,zero_shot,move,Our study contributes to our understanding of the interactions between vectors a...,200,3,1.0,200,0,0.0,3,1.0,1,High consistency
34,zero_shot,move,Our data provide information on how population-level processes and variation in ...,100,3,1.0,100,0,0.0,3,1.0,1,High consistency
