sentence_num,condition,level,text_preview,n_runs,gold_label,agreement_rate,n_correct,n_incorrect,entropy,modal_prediction,modal_frequency,unique_predictions,consistency_category
1,zero_shot,step,"Due to its importance in shaping ecological communities and the species, the che...",500,1a,0.84,420,80,0.7940208952874156,1a,0.84,3,Moderate consistency
2,zero_shot,step,"Under this paradigm, plants that evolve the ability to produce toxic or deterren...",500,1b,0.794,397,103,0.8123388719710571,1b,0.858,4,Moderate consistency
3,zero_shot,step,"However, as their enemies evolve the ability to tolerate or neutralize these met...",500,2a,0.028,14,486,2.087685459688816,2b,0.396,6,Problematic
4,zero_shot,step,"The Brassicaceae, a family of more than 4000 plant species, presents many instan...",500,2a,0.194,97,403,2.3004748861081876,2b,0.302,6,Problematic
5,zero_shot,step,Glucosinolates evolved as a defense in this lineage approximately 90 million yea...,500,1c,0.622,311,189,2.266452410341952,1b,0.412,7,Uncertain
6,zero_shot,step,"Since the original gain of glucosinolate biosynthesis, many insect species have ...",500,1c,0.312,156,344,2.0028481727633216,1b,0.464,5,Uncertain
7,zero_shot,step,Several lineages within the Brassicaceae have more recently evolved the producti...,500,1c,0.576,288,212,1.6292759183231302,1b,0.506,5,Uncertain
8,zero_shot,step,It is hypothesized that these key evolutionary innovations allowed these lineage...,500,1c,0.314,157,343,2.1326576989094983,1c,0.348,7,Uncertain
9,zero_shot,step,A meta-analysis of phytochemical coevolution theory found that specialist insect...,500,1c,0.522,261,239,1.7139108858022292,1c,0.504,5,Uncertain
10,zero_shot,step,"Consistent with this theory, the glucosinolate-tolerant small and large white ca...",500,1c,0.664,332,168,1.5733544760127574,1b,0.55,5,Uncertain
11,zero_shot,step,Experiments involving bioactivity-guided fractionation identified cardiac glycos...,500,1c,0.58,290,210,1.6632783091656416,1c,0.48,6,Uncertain
12,zero_shot,step,"Similarly, isolated cardiac glycosides were shown to be feeding deterrents for t...",500,1c,0.538,269,231,1.657936758630472,1c,0.538,5,Uncertain
13,zero_shot,step,"However, in the absence of mutant lines that lack cardiac glycosides, it has not...",500,2a,0.556,278,222,2.0373695861335097,1c,0.362,7,Uncertain
14,zero_shot,step,"The aims of this study were two-fold: First, we sought to identify cardiac glyco...",500,3b,0.356,178,322,2.298648763915727,2b,0.402,8,Uncertain
15,zero_shot,step,"Second, we revisited classical ecological experiments with modern tools, develop...",500,3b,0.436,218,282,2.351896614635276,1c,0.314,7,Uncertain
16,zero_shot,step,This effectively reversed the “escape from herbivory” of E. cheiranthoides and a...,500,3b,0.526,263,237,2.4757273422662935,1b,0.294,9,Uncertain
17,zero_shot,step,AKHRs are a class of G protein-coupled receptors and were first identified in Dr...,450,1c,0.46,207,243,2.0079503581387406,2b,0.43333333333333335,7,Uncertain
18,zero_shot,step,Recent studies have shown that AKH/AKHR signaling plays a regulatory role during...,450,1c,0.4911111111111111,221,229,2.1885999143465313,1c,0.4266666666666667,8,Uncertain
19,zero_shot,step,"For example, depletion of AKHR in Bactrocera dorsalis resulted in TAG accumulati...",400,1c,0.6425,257,143,2.125464027838091,1c,0.3925,7,Uncertain
20,zero_shot,step,AKHR knockdown in Nilaparvata lugens interferes with trehalose homeostasis and v...,400,1c,0.4875,195,205,2.5221836453324,3b,0.27,8,Uncertain
21,zero_shot,step,AKH/AKHR signaling also regulates vitellogenesis and egg development in Locusta ...,400,1c,0.49,196,204,1.9589014956505197,1c,0.47,7,Uncertain
22,zero_shot,step,"As outlined above, the fecundity of D. citri is increased by CLas....",400,1b,0.275,110,290,2.368260118708011,1c,0.365,8,Problematic
23,zero_shot,step,Whether AKH/AKHR signaling participates in this increase in fecundity due to inf...,400,2b,0.2775,111,289,2.141392063592589,3b,0.3175,6,Problematic
24,zero_shot,step,"Although numerous studies have been conducted on the AKH/AKHR signaling pathway,...",350,2b,0.58,203,147,2.2252920875922975,3b,0.28285714285714286,6,Uncertain
25,zero_shot,step,"MicroRNAs (miRNAs) are small, non-coding RNAs containing approximately 22 nucleo...",350,1c,0.3457142857142857,121,229,2.6135423258045125,1b,0.3057142857142857,8,Uncertain
26,zero_shot,step,miRNAs play important roles in regulating cellular events at the post-transcript...,300,1b,0.30666666666666664,92,208,2.2544991112869486,3a,0.32666666666666666,8,Uncertain
27,zero_shot,step,"For example, in term of host-virus interactions, miR-8 and miR-429 target Broad ...",250,1c,0.668,167,83,2.0435447077489153,3b,0.372,5,Uncertain
28,zero_shot,step,"In relation to reproduction, in Aedes aegypti, miR-275 is essential for egg deve...",250,1c,0.792,198,52,1.9766556874321815,1c,0.392,5,Moderate consistency
29,zero_shot,step,"As for lipid metabolism, knockdown of miR-277 in A. aegypti activates insulin/FO...",250,1c,0.548,137,113,2.4004734272940245,3a,0.276,6,Uncertain
30,zero_shot,step,"Nevertheless, the functions of the miRNAs in insect-pathogen interactions need f...",200,2b,0.26,52,148,1.9951959183668828,3b,0.43,8,Problematic
31,zero_shot,step,"To date, there are no reports that miRNAs participate in D. citri-CLas interacti...",200,2b,0.675,135,65,1.9465323847093903,3c,0.42,7,Uncertain
32,zero_shot,step,"As a consequence, in this study, we used the D. citri-CLas system as a model to ...",150,3b,0.3333333333333333,50,100,1.358697539110439,3a,0.5333333333333333,3,Uncertain
33,zero_shot,step,Our study contributes to our understanding of the interactions between vectors a...,100,3a,0.92,92,8,0.9895875212220555,3a,0.56,2,High consistency
34,zero_shot,step,Our data provide information on how population-level processes and variation in ...,50,3b,0.18,9,41,0.9106559588025546,3c,0.78,3,Problematic
