sentence_num,condition_zs,level,text_preview_zs,n_runs_zs,gold_label,agreement_rate_zs,n_correct_zs,n_incorrect_zs,entropy_zs,modal_prediction_zs,modal_frequency_zs,unique_predictions_zs,consistency_category_zs,condition_ft,text_preview_ft,n_runs_ft,agreement_rate_ft,n_correct_ft,n_incorrect_ft,entropy_ft,modal_prediction_ft,modal_frequency_ft,unique_predictions_ft,consistency_category_ft,agreement_diff,entropy_diff,more_consistent
1,zero_shot,step,"Due to its importance in shaping ecological communities and the species, the che...",1000,1a,0.827,827,173,0.8368163772834071,1a,0.827,3,Moderate consistency,fine_tuned,"Due to its importance in shaping ecological communities and the species, the che...",1000,0.958,958,42,0.28995656972040706,1a,0.958,3,High consistency,-0.131,0.546859807563,Fine-tuned
2,zero_shot,step,"Under this paradigm, plants that evolve the ability to produce toxic or deterren...",1000,1b,0.759,759,241,0.8871988696646043,1b,0.839,4,Moderate consistency,fine_tuned,"Under this paradigm, plants that evolve the ability to produce toxic or deterren...",1000,0.75,750,250,0.7528150027764644,1b,0.841,3,Moderate consistency,0.009000000000000008,0.13438386688813986,Zero-shot
3,zero_shot,step,"However, as their enemies evolve the ability to tolerate or neutralize these met...",1000,2a,0.024,24,976,2.0747667146434656,2b,0.4,6,Problematic,fine_tuned,"However, as their enemies evolve the ability to tolerate or neutralize these met...",1000,0.19,190,810,1.9589194479415024,1c,0.54,8,Problematic,-0.166,0.11584726670196321,Fine-tuned
4,zero_shot,step,"The Brassicaceae, a family of more than 4000 plant species, presents many instan...",1000,2a,0.191,191,809,2.2760930319039563,2b,0.316,6,Problematic,fine_tuned,"The Brassicaceae, a family of more than 4000 plant species, presents many instan...",1000,0.243,243,757,1.9832144568266565,1c,0.519,8,Problematic,-0.05199999999999999,0.29287857507729975,Fine-tuned
5,zero_shot,step,Glucosinolates evolved as a defense in this lineage approximately 90 million yea...,1000,1c,0.609,609,391,2.275731619715467,1b,0.41,8,Uncertain,fine_tuned,Glucosinolates evolved as a defense in this lineage approximately 90 million yea...,1000,0.305,305,695,1.8819277439564983,1c,0.604,9,Uncertain,0.304,0.3938038757589686,Zero-shot
6,zero_shot,step,"Since the original gain of glucosinolate biosynthesis, many insect species have ...",1000,1c,0.314,314,686,2.0068612863909427,1b,0.469,6,Uncertain,fine_tuned,"Since the original gain of glucosinolate biosynthesis, many insect species have ...",1000,0.4,400,600,1.6491887946749495,1c,0.655,9,Uncertain,-0.08600000000000002,0.35767249171599325,Fine-tuned
7,zero_shot,step,Several lineages within the Brassicaceae have more recently evolved the producti...,1000,1c,0.57,570,430,1.6450361247447354,1b,0.507,7,Uncertain,fine_tuned,Several lineages within the Brassicaceae have more recently evolved the producti...,1000,0.688,688,312,0.8290534801969351,1c,0.839,8,Uncertain,-0.118,0.8159826445478002,Fine-tuned
8,zero_shot,step,It is hypothesized that these key evolutionary innovations allowed these lineage...,1000,1c,0.308,308,692,2.133026352974345,1c,0.348,7,Uncertain,fine_tuned,It is hypothesized that these key evolutionary innovations allowed these lineage...,1000,0.723,723,277,1.3548361407596443,1c,0.759,8,Moderate consistency,-0.415,0.7781902122147006,Fine-tuned
9,zero_shot,step,A meta-analysis of phytochemical coevolution theory found that specialist insect...,1000,1c,0.509,509,491,1.7297881105696393,1c,0.492,6,Uncertain,fine_tuned,A meta-analysis of phytochemical coevolution theory found that specialist insect...,1000,0.632,632,368,1.2222653803617747,1c,0.788,9,Uncertain,-0.123,0.5075227302078646,Fine-tuned
10,zero_shot,step,"Consistent with this theory, the glucosinolate-tolerant small and large white ca...",1000,1c,0.685,685,315,1.5268177648589398,1b,0.557,7,Uncertain,fine_tuned,"Consistent with this theory, the glucosinolate-tolerant small and large white ca...",1000,0.723,723,277,1.8463528058917438,1c,0.56,10,Moderate consistency,-0.03799999999999992,-0.31953504103280395,Fine-tuned
