sentence_num,condition_zs,level,text_preview_zs,n_runs_zs,gold_label,agreement_rate_zs,n_correct_zs,n_incorrect_zs,entropy_zs,modal_prediction_zs,modal_frequency_zs,unique_predictions_zs,consistency_category_zs,condition_ft,text_preview_ft,n_runs_ft,agreement_rate_ft,n_correct_ft,n_incorrect_ft,entropy_ft,modal_prediction_ft,modal_frequency_ft,unique_predictions_ft,consistency_category_ft,agreement_diff,entropy_diff,more_consistent
1,zero_shot,move,"Due to its importance in shaping ecological communities and the species, the che...",500,1,1.0,500,0,0.0,1,1.0,1,High consistency,fine_tuned,"Due to its importance in shaping ecological communities and the species, the che...",500,1.0,500,0,0.0,1,1.0,1,High consistency,0.0,0.0,Equal
2,zero_shot,move,"Under this paradigm, plants that evolve the ability to produce toxic or deterren...",500,1,0.95,475,25,0.2863969571159562,1,0.95,2,High consistency,fine_tuned,"Under this paradigm, plants that evolve the ability to produce toxic or deterren...",500,1.0,500,0,0.0,1,1.0,1,High consistency,-0.050000000000000044,0.2863969571159562,Fine-tuned
3,zero_shot,move,"However, as their enemies evolve the ability to tolerate or neutralize these met...",500,2,0.746,373,127,0.9998961234639354,2,0.506,2,Moderate consistency,fine_tuned,"However, as their enemies evolve the ability to tolerate or neutralize these met...",500,0.728,364,136,0.8144326879441559,1,0.748,2,Moderate consistency,0.018000000000000016,0.1854634355197795,Zero-shot
4,zero_shot,move,"The Brassicaceae, a family of more than 4000 plant species, presents many instan...",500,2,0.574,287,213,0.9841414105340351,1,0.574,2,Uncertain,fine_tuned,"The Brassicaceae, a family of more than 4000 plant species, presents many instan...",500,0.816,408,92,0.6622595460438849,1,0.828,2,Moderate consistency,-0.242,0.3218818644901502,Fine-tuned
5,zero_shot,move,Glucosinolates evolved as a defense in this lineage approximately 90 million yea...,500,1,0.888,444,56,0.9318148464248913,1,0.796,3,Moderate consistency,fine_tuned,Glucosinolates evolved as a defense in this lineage approximately 90 million yea...,500,0.83,415,85,0.9758989399801455,1,0.78,3,Moderate consistency,0.05800000000000005,-0.04408409355525422,Zero-shot
6,zero_shot,move,"Since the original gain of glucosinolate biosynthesis, many insect species have ...",500,1,0.794,397,103,0.7337669895308355,1,0.794,2,Moderate consistency,fine_tuned,"Since the original gain of glucosinolate biosynthesis, many insect species have ...",500,0.824,412,88,0.6807157521061767,1,0.864,3,Moderate consistency,-0.029999999999999916,0.05305123742465878,Fine-tuned
7,zero_shot,move,Several lineages within the Brassicaceae have more recently evolved the producti...,500,1,0.966,483,17,0.21407106810421872,1,0.966,2,High consistency,fine_tuned,Several lineages within the Brassicaceae have more recently evolved the producti...,500,0.988,494,6,0.10577790984777168,1,0.988,3,High consistency,-0.02200000000000002,0.10829315825644704,Fine-tuned
8,zero_shot,move,It is hypothesized that these key evolutionary innovations allowed these lineage...,500,1,0.726,363,137,0.8471460081459877,1,0.726,2,Moderate consistency,fine_tuned,It is hypothesized that these key evolutionary innovations allowed these lineage...,500,0.856,428,72,0.6159922366738478,1,0.88,3,Moderate consistency,-0.13,0.2311537714721399,Fine-tuned
9,zero_shot,move,A meta-analysis of phytochemical coevolution theory found that specialist insect...,500,1,0.738,369,131,0.6390727927547213,1,0.838,2,Moderate consistency,fine_tuned,A meta-analysis of phytochemical coevolution theory found that specialist insect...,500,0.804,402,98,0.5397890916161214,1,0.904,3,Moderate consistency,-0.06600000000000006,0.09928370113859986,Fine-tuned
10,zero_shot,move,"Consistent with this theory, the glucosinolate-tolerant small and large white ca...",500,1,0.9,450,50,0.46899559358928117,1,0.9,2,High consistency,fine_tuned,"Consistent with this theory, the glucosinolate-tolerant small and large white ca...",500,0.926,463,37,0.8472985519989379,1,0.82,3,High consistency,-0.026000000000000023,-0.3783029584096567,Fine-tuned
11,zero_shot,move,Experiments involving bioactivity-guided fractionation identified cardiac glycos...,500,1,0.856,428,72,0.801629101585612,1,0.756,2,Moderate consistency,fine_tuned,Experiments involving bioactivity-guided fractionation identified cardiac glycos...,500,0.956,478,22,0.5868678232696082,1,0.872,3,High consistency,-0.09999999999999998,0.21476127831600378,Fine-tuned
12,zero_shot,move,"Similarly, isolated cardiac glycosides were shown to be feeding deterrents for t...",500,1,0.812,406,94,0.697268815792328,1,0.812,2,Moderate consistency,fine_tuned,"Similarly, isolated cardiac glycosides were shown to be feeding deterrents for t...",500,0.852,426,74,0.6410378222556811,1,0.852,3,Moderate consistency,-0.039999999999999925,0.056230993536646956,Fine-tuned
13,zero_shot,move,"However, in the absence of mutant lines that lack cardiac glycosides, it has not...",500,2,0.842,421,79,0.8931734583778568,1,0.69,2,Moderate consistency,fine_tuned,"However, in the absence of mutant lines that lack cardiac glycosides, it has not...",500,0.854,427,73,1.1742173660344146,1,0.686,3,Moderate consistency,-0.01200000000000001,-0.28104390765655785,Fine-tuned
14,zero_shot,move,"The aims of this study were two-fold: First, we sought to identify cardiac glyco...",500,3,0.786,393,107,1.506145069611914,2,0.466,3,Moderate consistency,fine_tuned,"The aims of this study were two-fold: First, we sought to identify cardiac glyco...",500,0.818,409,91,1.4596352528265457,1,0.536,3,Moderate consistency,-0.03199999999999992,0.04650981678536836,Fine-tuned
15,zero_shot,move,"Second, we revisited classical ecological experiments with modern tools, develop...",500,3,0.8,400,100,1.1567796494470395,1,0.7,3,Moderate consistency,fine_tuned,"Second, we revisited classical ecological experiments with modern tools, develop...",500,0.77,385,115,1.2220692830005928,1,0.68,3,Moderate consistency,0.030000000000000027,-0.06528963355355333,Zero-shot
16,zero_shot,move,This effectively reversed the “escape from herbivory” of E. cheiranthoides and a...,500,3,0.888,444,56,1.3643606277544402,1,0.488,3,Moderate consistency,fine_tuned,This effectively reversed the “escape from herbivory” of E. cheiranthoides and a...,500,0.76,380,120,1.472042508977651,1,0.526,3,Moderate consistency,0.128,-0.10768188122321076,Zero-shot
17,zero_shot,move,AKHRs are a class of G protein-coupled receptors and were first identified in Dr...,450,1,0.4688888888888889,211,239,1.0856515541245593,2,0.6422222222222222,3,Uncertain,fine_tuned,AKHRs are a class of G protein-coupled receptors and were first identified in Dr...,450,0.6955555555555556,313,137,1.3787093568613913,1,0.5244444444444445,3,Uncertain,-0.22666666666666668,-0.293057802736832,Fine-tuned
18,zero_shot,move,Recent studies have shown that AKH/AKHR signaling plays a regulatory role during...,450,1,0.7266666666666667,327,123,1.2469896352054712,1,0.66,3,Moderate consistency,fine_tuned,Recent studies have shown that AKH/AKHR signaling plays a regulatory role during...,450,0.5511111111111111,248,202,1.1936100142223633,1,0.6288888888888889,3,Uncertain,0.17555555555555558,0.05337962098310789,Zero-shot
19,zero_shot,move,"For example, depletion of AKHR in Bactrocera dorsalis resulted in TAG accumulati...",400,1,0.6925,277,123,1.4272516203909351,1,0.4425,3,Uncertain,fine_tuned,"For example, depletion of AKHR in Bactrocera dorsalis resulted in TAG accumulati...",400,0.7075,283,117,1.4846109961374176,1,0.5075,3,Moderate consistency,-0.015000000000000013,-0.05735937574648253,Fine-tuned
