sentence_num,condition,level,text_preview,n_runs,gold_label,agreement_rate,n_correct,n_incorrect,entropy,modal_prediction,modal_frequency,unique_predictions,consistency_category
1,fine_tuned,move,"Due to its importance in shaping ecological communities and the species, the che...",500,1,1.0,500,0,0.0,1,1.0,1,High consistency
2,fine_tuned,move,"Under this paradigm, plants that evolve the ability to produce toxic or deterren...",500,1,1.0,500,0,0.0,1,1.0,1,High consistency
3,fine_tuned,move,"However, as their enemies evolve the ability to tolerate or neutralize these met...",500,2,0.728,364,136,0.8144326879441559,1,0.748,2,Moderate consistency
4,fine_tuned,move,"The Brassicaceae, a family of more than 4000 plant species, presents many instan...",500,2,0.816,408,92,0.6622595460438849,1,0.828,2,Moderate consistency
5,fine_tuned,move,Glucosinolates evolved as a defense in this lineage approximately 90 million yea...,500,1,0.83,415,85,0.9758989399801455,1,0.78,3,Moderate consistency
6,fine_tuned,move,"Since the original gain of glucosinolate biosynthesis, many insect species have ...",500,1,0.824,412,88,0.6807157521061767,1,0.864,3,Moderate consistency
7,fine_tuned,move,Several lineages within the Brassicaceae have more recently evolved the producti...,500,1,0.988,494,6,0.10577790984777168,1,0.988,3,High consistency
8,fine_tuned,move,It is hypothesized that these key evolutionary innovations allowed these lineage...,500,1,0.856,428,72,0.6159922366738478,1,0.88,3,Moderate consistency
9,fine_tuned,move,A meta-analysis of phytochemical coevolution theory found that specialist insect...,500,1,0.804,402,98,0.5397890916161214,1,0.904,3,Moderate consistency
10,fine_tuned,move,"Consistent with this theory, the glucosinolate-tolerant small and large white ca...",500,1,0.926,463,37,0.8472985519989379,1,0.82,3,High consistency
11,fine_tuned,move,Experiments involving bioactivity-guided fractionation identified cardiac glycos...,500,1,0.956,478,22,0.5868678232696082,1,0.872,3,High consistency
12,fine_tuned,move,"Similarly, isolated cardiac glycosides were shown to be feeding deterrents for t...",500,1,0.852,426,74,0.6410378222556811,1,0.852,3,Moderate consistency
13,fine_tuned,move,"However, in the absence of mutant lines that lack cardiac glycosides, it has not...",500,2,0.854,427,73,1.1742173660344146,1,0.686,3,Moderate consistency
14,fine_tuned,move,"The aims of this study were two-fold: First, we sought to identify cardiac glyco...",500,3,0.818,409,91,1.4596352528265457,1,0.536,3,Moderate consistency
15,fine_tuned,move,"Second, we revisited classical ecological experiments with modern tools, develop...",500,3,0.77,385,115,1.2220692830005928,1,0.68,3,Moderate consistency
16,fine_tuned,move,This effectively reversed the “escape from herbivory” of E. cheiranthoides and a...,500,3,0.76,380,120,1.472042508977651,1,0.526,3,Moderate consistency
17,fine_tuned,move,AKHRs are a class of G protein-coupled receptors and were first identified in Dr...,450,1,0.6955555555555556,313,137,1.3787093568613913,1,0.5244444444444445,3,Uncertain
18,fine_tuned,move,Recent studies have shown that AKH/AKHR signaling plays a regulatory role during...,450,1,0.5511111111111111,248,202,1.1936100142223633,1,0.6288888888888889,3,Uncertain
19,fine_tuned,move,"For example, depletion of AKHR in Bactrocera dorsalis resulted in TAG accumulati...",400,1,0.7075,283,117,1.4846109961374176,1,0.5075,3,Moderate consistency
20,fine_tuned,move,AKHR knockdown in Nilaparvata lugens interferes with trehalose homeostasis and v...,400,1,0.9175,367,33,1.1329801221571771,1,0.5475,3,High consistency
21,fine_tuned,move,AKH/AKHR signaling also regulates vitellogenesis and egg development in Locusta ...,400,1,0.8325,333,67,1.214641522585003,1,0.6075,3,Moderate consistency
22,fine_tuned,move,"As outlined above, the fecundity of D. citri is increased by CLas....",400,1,0.77,308,92,1.1914436210393724,3,0.54,3,Moderate consistency
23,fine_tuned,move,Whether AKH/AKHR signaling participates in this increase in fecundity due to inf...,400,2,0.8425,337,63,1.4754983542694042,3,0.5025,3,Moderate consistency
24,fine_tuned,move,"Although numerous studies have been conducted on the AKH/AKHR signaling pathway,...",350,2,0.6571428571428571,230,120,1.5084642004686561,1,0.44,3,Uncertain
25,fine_tuned,move,"MicroRNAs (miRNAs) are small, non-coding RNAs containing approximately 22 nucleo...",350,1,0.7685714285714286,269,81,1.196724100725811,3,0.5942857142857143,3,Moderate consistency
26,fine_tuned,move,miRNAs play important roles in regulating cellular events at the post-transcript...,300,1,0.8433333333333334,253,47,1.1813421552157775,3,0.5966666666666667,3,Moderate consistency
27,fine_tuned,move,"For example, in term of host-virus interactions, miR-8 and miR-429 target Broad ...",250,1,0.972,243,7,1.3490838236866216,3,0.612,3,High consistency
28,fine_tuned,move,"In relation to reproduction, in Aedes aegypti, miR-275 is essential for egg deve...",250,1,0.976,244,6,1.0224187562114633,3,0.608,3,High consistency
29,fine_tuned,move,"As for lipid metabolism, knockdown of miR-277 in A. aegypti activates insulin/FO...",250,1,0.936,234,16,1.3360772443122952,3,0.604,3,High consistency
30,fine_tuned,move,"Nevertheless, the functions of the miRNAs in insect-pathogen interactions need f...",200,2,0.725,145,55,1.4891224230222857,3,0.51,3,Moderate consistency
31,fine_tuned,move,"To date, there are no reports that miRNAs participate in D. citri-CLas interacti...",200,2,0.84,168,32,1.3882590357355857,3,0.52,3,Moderate consistency
32,fine_tuned,move,"As a consequence, in this study, we used the D. citri-CLas system as a model to ...",150,3,0.9933333333333333,149,1,0.05777796017013378,3,0.9933333333333333,2,High consistency
33,fine_tuned,move,Our study contributes to our understanding of the interactions between vectors a...,100,3,1.0,100,0,0.0,3,1.0,1,High consistency
34,fine_tuned,move,Our data provide information on how population-level processes and variation in ...,50,3,1.0,50,0,0.0,3,1.0,1,High consistency
