sentence_num,condition_zs,level,text_preview_zs,n_runs_zs,gold_label,agreement_rate_zs,n_correct_zs,n_incorrect_zs,entropy_zs,modal_prediction_zs,modal_frequency_zs,unique_predictions_zs,consistency_category_zs,condition_ft,text_preview_ft,n_runs_ft,agreement_rate_ft,n_correct_ft,n_incorrect_ft,entropy_ft,modal_prediction_ft,modal_frequency_ft,unique_predictions_ft,consistency_category_ft,agreement_diff,entropy_diff,more_consistent
1,zero_shot,step,"Due to its importance in shaping ecological communities and the species, the che...",500,1a,0.84,420,80,0.7940208952874156,1a,0.84,3,Moderate consistency,fine_tuned,"Due to its importance in shaping ecological communities and the species, the che...",500,0.956,478,22,0.3032855335348615,1a,0.956,3,High consistency,-0.11599999999999999,0.4907353617525541,Fine-tuned
2,zero_shot,step,"Under this paradigm, plants that evolve the ability to produce toxic or deterren...",500,1b,0.794,397,103,0.8123388719710571,1b,0.858,4,Moderate consistency,fine_tuned,"Under this paradigm, plants that evolve the ability to produce toxic or deterren...",500,0.754,377,123,0.73057063157561,1b,0.844,3,Moderate consistency,0.040000000000000036,0.08176824039544717,Zero-shot
3,zero_shot,step,"However, as their enemies evolve the ability to tolerate or neutralize these met...",500,2a,0.028,14,486,2.087685459688816,2b,0.396,6,Problematic,fine_tuned,"However, as their enemies evolve the ability to tolerate or neutralize these met...",500,0.188,94,406,1.9244528712655236,1c,0.558,7,Problematic,-0.16,0.16323258842329236,Fine-tuned
4,zero_shot,step,"The Brassicaceae, a family of more than 4000 plant species, presents many instan...",500,2a,0.194,97,403,2.3004748861081876,2b,0.302,6,Problematic,fine_tuned,"The Brassicaceae, a family of more than 4000 plant species, presents many instan...",500,0.252,126,374,1.9240513923311455,1c,0.538,6,Problematic,-0.057999999999999996,0.3764234937770421,Fine-tuned
5,zero_shot,step,Glucosinolates evolved as a defense in this lineage approximately 90 million yea...,500,1c,0.622,311,189,2.266452410341952,1b,0.412,7,Uncertain,fine_tuned,Glucosinolates evolved as a defense in this lineage approximately 90 million yea...,500,0.306,153,347,1.8883051594456663,1c,0.59,9,Uncertain,0.316,0.37814725089628576,Zero-shot
6,zero_shot,step,"Since the original gain of glucosinolate biosynthesis, many insect species have ...",500,1c,0.312,156,344,2.0028481727633216,1b,0.464,5,Uncertain,fine_tuned,"Since the original gain of glucosinolate biosynthesis, many insect species have ...",500,0.408,204,296,1.6279300711575482,1c,0.65,8,Uncertain,-0.09599999999999997,0.37491810160577344,Fine-tuned
7,zero_shot,step,Several lineages within the Brassicaceae have more recently evolved the producti...,500,1c,0.576,288,212,1.6292759183231302,1b,0.506,5,Uncertain,fine_tuned,Several lineages within the Brassicaceae have more recently evolved the producti...,500,0.694,347,153,0.8134736391030225,1c,0.832,6,Uncertain,-0.118,0.8158022792201077,Fine-tuned
8,zero_shot,step,It is hypothesized that these key evolutionary innovations allowed these lineage...,500,1c,0.314,157,343,2.1326576989094983,1c,0.348,7,Uncertain,fine_tuned,It is hypothesized that these key evolutionary innovations allowed these lineage...,500,0.736,368,132,1.3073235573304842,1c,0.762,8,Moderate consistency,-0.422,0.8253341415790141,Fine-tuned
9,zero_shot,step,A meta-analysis of phytochemical coevolution theory found that specialist insect...,500,1c,0.522,261,239,1.7139108858022292,1c,0.504,5,Uncertain,fine_tuned,A meta-analysis of phytochemical coevolution theory found that specialist insect...,500,0.634,317,183,1.1933681367184332,1c,0.792,9,Uncertain,-0.11199999999999999,0.5205427490837959,Fine-tuned
10,zero_shot,step,"Consistent with this theory, the glucosinolate-tolerant small and large white ca...",500,1c,0.664,332,168,1.5733544760127574,1b,0.55,5,Uncertain,fine_tuned,"Consistent with this theory, the glucosinolate-tolerant small and large white ca...",500,0.714,357,143,1.852605309517643,1c,0.556,8,Moderate consistency,-0.04999999999999993,-0.27925083350488555,Fine-tuned
11,zero_shot,step,Experiments involving bioactivity-guided fractionation identified cardiac glycos...,500,1c,0.58,290,210,1.6632783091656416,1c,0.48,6,Uncertain,fine_tuned,Experiments involving bioactivity-guided fractionation identified cardiac glycos...,500,0.922,461,39,0.9224746299984814,1c,0.838,8,High consistency,-0.3420000000000001,0.7408036791671602,Fine-tuned
12,zero_shot,step,"Similarly, isolated cardiac glycosides were shown to be feeding deterrents for t...",500,1c,0.538,269,231,1.657936758630472,1c,0.538,5,Uncertain,fine_tuned,"Similarly, isolated cardiac glycosides were shown to be feeding deterrents for t...",500,0.84,420,80,0.887231549562928,1c,0.84,8,Moderate consistency,-0.30199999999999994,0.770705209067544,Fine-tuned
13,zero_shot,step,"However, in the absence of mutant lines that lack cardiac glycosides, it has not...",500,2a,0.556,278,222,2.0373695861335097,1c,0.362,7,Uncertain,fine_tuned,"However, in the absence of mutant lines that lack cardiac glycosides, it has not...",500,0.696,348,152,1.6751677056860494,1c,0.648,10,Uncertain,-0.1399999999999999,0.36220188044746027,Fine-tuned
14,zero_shot,step,"The aims of this study were two-fold: First, we sought to identify cardiac glyco...",500,3b,0.356,178,322,2.298648763915727,2b,0.402,8,Uncertain,fine_tuned,"The aims of this study were two-fold: First, we sought to identify cardiac glyco...",500,0.574,287,213,2.186468964602197,1c,0.476,9,Uncertain,-0.21799999999999997,0.11217979931353028,Fine-tuned
15,zero_shot,step,"Second, we revisited classical ecological experiments with modern tools, develop...",500,3b,0.436,218,282,2.351896614635276,1c,0.314,7,Uncertain,fine_tuned,"Second, we revisited classical ecological experiments with modern tools, develop...",500,0.46,230,270,1.894330717759754,1c,0.602,8,Uncertain,-0.02400000000000002,0.45756589687552207,Fine-tuned
16,zero_shot,step,This effectively reversed the “escape from herbivory” of E. cheiranthoides and a...,500,3b,0.526,263,237,2.4757273422662935,1b,0.294,9,Uncertain,fine_tuned,This effectively reversed the “escape from herbivory” of E. cheiranthoides and a...,500,0.382,191,309,2.4168939009104773,1c,0.488,10,Uncertain,0.14400000000000002,0.05883344135581625,Zero-shot
17,zero_shot,step,AKHRs are a class of G protein-coupled receptors and were first identified in Dr...,450,1c,0.46,207,243,2.0079503581387406,2b,0.43333333333333335,7,Uncertain,fine_tuned,AKHRs are a class of G protein-coupled receptors and were first identified in Dr...,450,0.6555555555555556,295,155,1.9553235822075155,1c,0.5066666666666667,10,Uncertain,-0.19555555555555554,0.05262677593122511,Fine-tuned
18,zero_shot,step,Recent studies have shown that AKH/AKHR signaling plays a regulatory role during...,450,1c,0.4911111111111111,221,229,2.1885999143465313,1c,0.4266666666666667,8,Uncertain,fine_tuned,Recent studies have shown that AKH/AKHR signaling plays a regulatory role during...,450,0.48444444444444446,218,232,1.9190310883689676,1c,0.5733333333333334,10,Uncertain,0.006666666666666654,0.2695688259775637,Zero-shot
19,zero_shot,step,"For example, depletion of AKHR in Bactrocera dorsalis resulted in TAG accumulati...",400,1c,0.6425,257,143,2.125464027838091,1c,0.3925,7,Uncertain,fine_tuned,"For example, depletion of AKHR in Bactrocera dorsalis resulted in TAG accumulati...",400,0.5875,235,165,2.2053747555444794,1c,0.4725,9,Uncertain,0.05499999999999994,-0.07991072770638841,Zero-shot
